,BELTON LAKE,LAKE WHITNEY,AQUILLA LAKE,LAKE WACO,PROCTOR LAKE,POSSUM KINGDOM LAKE,LAKE GEORGETOWN,GRANGER LAKE,LAKE LIMESTONE,STILLHOUSE HOLLOW LAKE,SOMERVILLE LAKE,LAKE GRANBURY,SAM RAYBURN RESERVOIR,B A STEINHAGEN LAKE
5/24/1981,9.446776426,12.62726814,17.35157373,5.542780659,14.97385989,2.292558863,33.65477979,31.82237648,17.49668509,19.05706597,24.09240187,5.966832411,16.90858447,19.1515643
5/25/1981,14.0524125,3.362013563,5.236976324,8.652320147,0.55529349,5.002848768,51.14330393,37.81872854,11.8682553,26.11318063,13.89991003,4.011048643,0.781371553,2.090753905
5/26/1981,0.03625,0,0,0,0,0.017687041,0,2.07E-05,0,0.088113751,0.046807142,0,8.960301705,5.462495298
5/27/1981,0,0,0.002286842,0,0,0.094175009,0,0,0,0,0,0.814630558,0.933194264,3.761765774
5/28/1981,0,0,0,0,0,0.332973482,0,0,0,0,0,0,1.851617619,1.921340305
5/29/1981,0.000297332,0.861599452,0,0.012309854,2.13E-06,7.942818057,0.935804274,1.055585839,0,0.194682303,3.560579879,0.090062611,0.002908824,0.109153774
5/30/1981,1.798012557,3.245955232,5.096268408,1.517358626,11.77998081,21.0666322,2.475823192,4.921787245,0.426802221,1.415698618,6.95296032,5.845585142,0.887107446,2.710510053
5/31/1981,0.285396641,0.000113924,0,0.486751403,0.186431197,0.412221099,1.182860247,2.079930827,0,0.289695156,1.907136532,0,15.08302435,15.77178712
6/1/1981,0.256902619,0.383492766,0,0.534404351,0.511184624,0.39035959,0,0.009251625,0,0,2.894091772,1.195130803,4.483292076,4.99262831
6/2/1981,1.044219089,7.226304704,2.533410517,3.046647646,3.546457854,4.030842183,5.15881052,5.326407539,1.464799191,1.412609269,7.233722921,5.639534186,2.698398046,2.392185188
6/3/1981,12.65338899,17.84288923,22.68327635,20.79060019,3.558613842,5.986769579,7.731857256,7.655150111,16.67684965,10.040074,9.836018952,3.569077563,27.82386216,27.36238848
6/4/1981,40.77364253,48.44782139,89.19536558,52.45787814,54.25090377,33.62590847,53.03421217,39.25082285,56.80204143,37.23788181,9.737564215,39.92329803,18.50152303,25.18806773
6/5/1981,33.17663886,13.50515774,16.32464989,21.68118593,17.0518308,3.030277735,73.14904554,53.02612112,29.40303016,43.00488592,13.04943534,19.02151348,40.80731575,43.6915877
6/6/1981,2.435115312,6.31139286,1.487994743,2.45959615,8.708679416,12.78851897,0.407277642,1.074505462,1.197619578,1.563421484,0.264926995,11.33319218,28.83970648,19.88035968
6/7/1981,1.917528376,5.277252707,8.839199994,3.992368561,6.86153223,1.45366667,0.004011895,0.026179277,6.808158414,0.08647096,12.21278939,16.50954141,7.849011896,20.81689659
6/8/1981,0.023134508,0,0,0,0,0,0,0,0,0.075354951,0,0,0.318237953,1.686037599
6/9/1981,0.032929244,0,0,0,0,0,0,0,0,0.108938558,0,0,0,0
6/10/1981,0.040629075,0,0,0,0,0,0.804768855,3.788162972,1.956163461,0.447479406,0.057814684,0,1.175249581,0.655772906
6/11/1981,6.290585908,0.865221975,0.450455262,4.480267422,0,0,33.4928764,32.72314841,2.671513611,14.07239573,64.47229018,0.013201993,7.644391454,12.79373468
6/12/1981,6.675115918,0.230172242,0.916721049,2.377206931,0.517808284,0.400943358,16.45195183,29.59626907,12.49365891,9.471647527,36.71572902,0,2.450480682,7.418047216
6/13/1981,4.434382712,1.14121745,3.25223683,8.882990676,0,0,6.993454988,10.19834419,10.637888,6.161075582,22.39590415,0.024231299,15.48743606,22.92652582
6/14/1981,8.155126178,1.875572335,6.505315819,3.607057716,0.27942528,0.150146691,26.46066223,42.93505619,60.32714315,13.23030168,30.67348551,0.375661181,0.163525902,1.026051562
6/15/1981,7.92773881,5.71658906,15.65131065,8.397314413,5.687625958,4.347974529,15.40297921,18.77967496,4.087206856,7.998071267,5.650522451,2.194983935,0.13388466,0.389407877
6/16/1981,72.76857076,66.55734306,130.2748084,73.99349942,21.69956651,12.01613771,34.18261684,34.38759582,38.38111198,61.00280806,16.3207397,19.37472338,5.56185285,18.451395
6/17/1981,3.143333429,0.974479656,2.748084214,2.335754383,0.342774432,0.001647875,1.77500134,2.506991297,4.712358216,2.00253738,7.887940645,0.000752311,2.886857366,5.450708653
6/18/1981,0.010278918,0,0.106086842,0,0.088143095,0,0.00277913,0,0,0.06370796,0,0,0.128241368,0.598670627
6/19/1981,0,0,0,0,0,0,0,0,0,0,0,0,2.01E-06,0.003380028
6/20/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029613884
6/21/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/22/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/23/1981,0.001588988,0,0,0,0,0,0,0,0,0.124684401,0,0,1.234665651,0.29834589
6/24/1981,0.007523243,0,0,0,0,0,0.069459314,0,0.194808274,0.896209666,0.029710054,0,11.67564026,10.0302733
