,sm_initial,sm_difference,prec_rollingsum,sm_final,tmean_rollingavg
1986-02-25,0.3346793175,-0.000939753500000029,0.00892621469929555,0.333739564,49.48428866922693
2000-08-31,0.304778436875,-0.002134901124999977,0.009279755034825119,0.30264353575,86.09496770873442
2000-09-01,0.304622329875,-0.0021155880000000016,0.009322716106824136,0.302506741875,86.25886773318972
2001-10-28,0.31565434925,0.0006084779999999679,0.009343550283166973,0.31626282725,63.42308235253673
2006-01-04,0.321301362625,-0.0012811968749999458,0.009390504018685039,0.32002016575000003,53.23492800191685
2004-12-22,0.38776145875,-0.008577080750000021,0.009481991253754186,0.379184378,48.135772672770045
1996-02-20,0.32458801449999997,-0.0017094589999999688,0.009557993512547476,0.3228785555,53.264483273483506
2013-01-30,0.30950870175,0.0011144351249999795,0.009627186099377908,0.310623136875,50.206549596799206
1996-02-19,0.324713422375,-0.0016946326250000254,0.00970132138287509,0.32301878975,50.80323564685734
1994-01-11,0.325268037375,-0.0009816291249999942,0.009743574416144802,0.32428640825,44.46591056475014
2000-09-02,0.304470289125,-0.0020929591250000157,0.009937093802528201,0.30237733,86.40431525745988
2016-02-20,0.374855871125,-0.00883540312500003,0.010038665558888106,0.366020468,52.651984575797655
2016-02-19,0.375609001,-0.009005788250000035,0.010038665558888106,0.36660321274999996,50.77877993116345
